Free Agent Pitchers  Season   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
W ,Kevin Ginkel RP | ARI ,55,66,0,0,0,2,3,31,9,3,68,20,61,5.24,1.47,200
W ,Cade Cavalli SP | WAS,137,27,27,8,0,6,7,0,0,0,120,40,150,4.07,1.39,201
W ,Landen Roupp SP | SF,124,26,26,10,0,9,7,0,0,0,118,48,135,4.64,1.48,202
W ,Rhett Lowder SP | CIN ,45,23,11,3,0,4,4,0,0,1,38,17,39,3.20,1.24,204
W ,Brandon Sproat SP | MIL ,42,22,10,4,0,3,3,0,0,1,36,14,35,3.86,1.17,205
W ,Hurston Waldrep SP | ATL ,32,16,8,3,0,3,2,0,0,0,28,12,26,3.66,1.19,206
W ,Corbin Burnes SP | ARI ,20,10,5,3,0,2,2,0,0,0,18,6,16,2.70,1.10,207
W ,Victor Vodnik RP | COL,73,73,0,0,0,4,2,1,0,12,85,46,84,4.32,1.78,208
W ,Matthew Liberatore SP | STL ,142,27,27,11,0,7,10,0,0,0,115,36,142,3.80,1.25,215
W ,Dustin May SP | STL ,143,26,26,12,0,8,11,0,0,0,128,47,140,4.28,1.31,217
W ,Adrian Morejon RP | SD,61,70,0,0,0,5,3,1,0,18,63,17,49,2.51,1.08,218
W ,Clayton Beeter RP | WAS,61,61,0,0,0,1,2,24,7,3,93,48,39,5.02,1.43,219
W ,JoJo Romero RP | STL,65,86,0,0,0,3,4,7,1,39,66,30,59,2.77,1.37,221
W ,Jeremiah Estrada RP | SD,62,73,0,0,0,2,3,1,0,28,94,24,49,3.34,1.18,222
W ,Michael McGreevy SP | STL ,146,26,26,13,0,9,9,0,0,0,95,29,149,4.13,1.22,232
W ,Tanner Scott RP | LAD ,64,74,0,0,0,5,5,5,1,20,69,24,50,3.38,1.16,235
W ,Max Meyer SP | MIA ,142,26,26,11,0,8,9,0,0,0,133,46,150,4.25,1.38,236
W ,Adrian Houser SP | SF ,153,26,26,13,0,9,7,0,0,0,115,51,157,4.29,1.36,237
